18:08:41: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 51] Logger initialized
18:08:46: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 3.333 m/s, y: 5.000 m/s, z: 0.167 m/s
18:08:47: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 4.615 m/s, y: 4.615 m/s, z: 0.154 m/s
18:08:47: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 4.286 m/s, y: 2.857 m/s, z: 0.143 m/s
18:08:48: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 4.000 m/s, y: 1.333 m/s, z: 0.133 m/s
18:08:48: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 3.750 m/s, y: 0.000 m/s, z: 0.125 m/s
18:08:49: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 2.353 m/s, y: 0.000 m/s, z: 0.118 m/s
18:08:49: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 1.111 m/s, y: 0.000 m/s, z: 0.111 m/s
18:08:50: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 0.000 m/s, y: 0.000 m/s, z: 0.105 m/s
18:08:50: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 0.000 m/s, y: 1.000 m/s, z: 0.100 m/s
18:08:51: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 0.000 m/s, y: 1.905 m/s, z: 0.095 m/s
18:08:51: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 0.000 m/s, y: 2.727 m/s, z: 0.091 m/s
18:08:52: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 0.870 m/s, y: 2.609 m/s, z: 0.087 m/s
18:08:52: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 1.667 m/s, y: 2.500 m/s, z: 0.083 m/s
18:08:53: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 2.400 m/s, y: 2.400 m/s, z: 0.080 m/s
18:08:53: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 2.308 m/s, y: 1.538 m/s, z: 0.077 m/s
18:08:54: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 2.222 m/s, y: 0.741 m/s, z: 0.074 m/s
18:08:54: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 2.143 m/s, y: 0.000 m/s, z: 0.071 m/s
18:08:55: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 1.379 m/s, y: 0.000 m/s, z: 0.069 m/s
18:08:55: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 0.667 m/s, y: 0.000 m/s, z: 0.067 m/s
18:08:56: [INFO] [/Users/lifengyin/dev/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 103] Average velocity: x: 0.000 m/s, y: 0.000 m/s, z: 0.065 m/s
